record_id,split,country,conference_date,target,label,text,detected_language
seg_00004,test,CH,2021-01-13,,credit claiming,"die gute Nachricht ist es aber, dass wir aber dieser Vorsprung und Wissensvorsprung, wenn wir schauen, wie es in andere Länder geht, und wir können schon damit auch am richtigen Moment handeln, um diese Explosion zu verhindern",de
seg_00005,train,CH,2021-01-13,,credit claiming,"Das heisst, wenn wir früher mal etwas tun, wir haben eine bessere Situation, als wir erwarten, und die Frage ist nicht, ob wir Massnahmen treffen müssen. Die Frage ist nur wann, und der Bundesrat hat heute entschieden, dass es ist besser jetzt als später, weil es minimiert auch die negativen Konsequenzen. Das Positive in diesem Kontext: wir haben diese Informationsvorsprung und die andere positive Nachricht, das ist die Impfung. Die Impfung beginnt wirklich mal sich zu verteilen in der Schweiz",de
seg_00006,train,CH,2021-01-13,subnational level,implicit blame avoidance,Die Kantone sind dafür zuständig,de
seg_00007,test,CH,2021-01-13,,credit claiming,"Wir haben immer mehr Dosen, wir haben jetzt schon zwei Zulassungen, die da sind, es gibt uns eine gute Situation zu den nächsten Wochen.",de
seg_00008,train,CH,2021-01-13,citizens,explicit blame shifting,"Der Bundesrat ist sich bewusst, meine Damen und Herren, es wird von uns allen seit Monaten enorm viel abverlangt. Und diese Massnahmen sind sehr einschneidend wir wissen auch, dass die Coronamüdigkeiten im Zoom und wir müssen wirklich das gemeinsam schaffen das heisst Massnahmen jetzt treffen damit man hier wirklich eine Perspektive wirklich schaffen kann für den Frühling und nicht umgekehrt, nicht umgekehrt und das auch mit der Chance eine gute Entwicklung bei der Impfung zu haben umso wichtiger ist in diesen Zeiten auch die Solidarität.",de
seg_00009,train,CH,2021-01-13,,credit claiming,"Wir sind nicht mittendrin in einer Explosion, wir sind vorher, das ist genau die grosse Differenz, mit der Entwicklungen, die wir letztes Jahr erlebt haben. Diesmal haben wir diese Vorsprung Wissensvorsprung Informationsforschung",de
seg_00010,test,CH,2021-01-13,subnational level,implicit blame avoidance,"Aber ich kann hier auch noch einmal erinnern, die Kantone, die können, die dürfen weitergehen, als was der Bund vorsieht, wenn es notwendig sein soll. Die Kantone könnten auch grundsätzlich die Skigebiete schliessen, das habe ich vorher noch vergessen zu erwähnen.",de
seg_00011,train,CH,2021-01-13,,credit claiming,und wir haben das heute reduziert und auch auf die 2-Haushalte-Regelung verzichtet. Mit 5 sind wir schon sehr tief.,de
seg_00012,train,CH,2021-01-13,subnational level,explicit blame shifting,"Ja, vielen Dank für diese Frage. Wir haben noch keine, ich glaube definitive Retour von den Kantonen dazu, sie ist klar, eine Aufgabe der Kantone, wir sind da in engen Kontakt für diese, für diese Fragen, und wir werden das viel davon aus, bald bekommen können.",de
seg_00013,train,CH,2021-01-13,subnational level,explicit blame shifting,"Und es gehört auch an die Kantone, da zu schauen, was es bedeutet, für die für die Schulen. Wir sind da auch im engen Kontakt, und wir können auch mit den Analysen, die wir haben, mit der Information, die wir jeden Tag neu bekommen, über was bedeutet dieses neuen Virus. Das können wir, wir sind im engen Kontakt mit Kantonen dazu.",de
seg_00018,train,CH,2021-01-13,subnational level,implicit blame avoidance,zweiter Punkt. Die Kantone sind zuständig für die Schulen noch einmal,de
seg_00023,test,CH,2021-01-13,citizens,explicit blame shifting,"Ich glaube, der Fall Wengen zeigt auch, was passieren kann, wenn es man kann das auch nicht vergleichen, in andere Fälle, aber trotzdem es ist passiert und es hat auch negativen Auswirkungen oder die dauernde Sache, die wir lieber nicht gesehen hätten wollen sehen, ja",de
seg_00024,train,CH,2021-01-13,,credit claiming,"weil wir versuchen nach wie vor pragmatisch einen Weg zu finden mit dieser Entwicklung. Aber wir haben über die Schliessung von Hotels zum Beispiel nicht gesprochen, oder wir haben von Schliessung von anderen Einrichtungen nicht gesprochen,",de
seg_00025,train,CH,2021-01-13,,credit claiming,"Wir machen sehr viel Sequenzierung, das hat uns erlaubt, das zu folgen in der Schweiz, wie es geht, und das erlaubt uns zu sagen, wir haben jetzt die Situation, die UK Anfang Dezember hatte und da wir früher sind, wir hoffen auch, dass es erlaubt, weniger strengere Massnahmen zu nehmen und da einen Weg damit zu finden, aber würden wir das ständig beobachten wie immer und allenfalls reagieren müssen.",de
seg_00026,train,CH,2021-01-13,,credit claiming,"Die Frage noch einmal mehr ist nicht ob, die Frage ist wann und je früher, desto besser auch für die Gesellschaft, für die Kosten, für die Wirtschaft und für die Gesundheit, das ist genau der Punkt,",de
seg_00027,train,CH,2021-01-13,,credit claiming,"wir haben einen Wissensvorsprung, es ist einfach, dass durch diese Sequenzierungen, wir wissen, wir können das vergleichen mit einer Situation, wo wir sind, wir haben 6 Wochen, 7 Wochen Differenz mit UK, das hatten wir bis jetzt nie in der Vergangenheit mit dieser Pandemie",de
seg_00036,train,CH,2021-01-27,,credit claiming,"Der Bund wird ab morgen auch die Kosten von Test an Personen keine Symptome haben, übernehmen die Möglichkeit für Asymptomatischen sich testen zu lassen ist vorhanden seit Dezember, da wir seit Dezember genug Test haben, es ist aber viel zu wenig benutzt worden, genutzt worden, wir wollen einen Anreiz schaffen und wir machen das mit dieser Übernahme der Kosten.",de
seg_00037,train,CH,2021-01-27,subnational level,implicit blame avoidance,"Wir haben auch diesen neuen Virusvarianten, die verdoppelt sich nach wie vor jede Woche, wir verfolgen das sehr, sehr genau und wir machen das auch sehr in Kontakt mit der Kantone",de
seg_00038,train,CH,2021-01-27,,credit claiming,"ich glaube mit der Entscheide des Bundesrats heute haben wir auch wieder mal einen guten Schritt gemacht, um eine bessere Begleitung dieser Pandemie zu haben und um besser noch die Situation im Griff zu haben für die nächsten Zeit, die sehr wichtig sind wegen der Entwicklung der Varianten und auch, weil wir die Impfkampagne haben, die läuft gerade jetzt, und die muss auch weiter so laufen. Danke",de
seg_00040,train,CH,2021-01-27,citizens,explicit blame shifting,"um wirklich diesen Anreiz zu schaffen, weil die Möglichkeit, die besteht seit Wochen ist, aber wirklich nicht benutzt worden",de
seg_00041,train,CH,2021-01-27,subnational level,explicit blame shifting,"Ja, die Altersheime, das ist wirklich Sache der Kantone. Wir wiederholen das seit sehr lange und es muss auch so bleiben und die Spitäler, die sind auch Sache der Kantone, ich meine, das muss auch so bleiben.",de
seg_00042,test,CH,2021-01-27,citizens,explicit blame shifting,"Wir haben einfach wirklich auch gehofft, dass die einfach mit der Lockerung der Möglichkeiten ab Dezember ab dem Moment, wo es genug Test gab, das ist wirklich sehr stark benutzt wird und wir müssen feststellen, das ist nicht der Fall",de
seg_00043,train,CH,2021-01-27,subnational level,explicit blame shifting,"die Übernahme durch den Bund und deswegen die Kantone, die müssen auch ein Konzept präsentieren. Ich meine das, es ist nicht, um etwas ineffizient zu fördern, es ist im Gegenteil um etwas sehr effizient zu fördern, das heisst vor allem, dass es benutzt wird, wo es wirklich etwas bringt, um noch einmal besonders gefährdeten Personen zu schützen, besser zu schützen oder um Ausbrüche im Kontroll, im Griff zu nehmen.",de
seg_00044,train,CH,2021-01-27,subnational level,explicit blame shifting,"deswegen ist es notwendig, dass die Kantone ein Konzept auch präsentieren für die Übernahme der Kosten, und das wird auch Fall pro Fall werden wir das diskutieren können, um zu sehen wo es wirklich Sinn macht.",de
seg_00045,train,CH,2021-01-27,citizens,explicit blame shifting,"dass zum Beispiel den Test um sich vorhanden Quarantäne zu befreien, nach 7 Tage, das wird auch nicht übernommen, das ist auch zulasten der Person, die, die diesen Weg sucht.",de
seg_00048,train,CH,2021-01-27,citizens,explicit blame shifting,"Es ist aber vorgesehen, dass die Person, die reist, sich melden muss.",de
seg_00049,train,CH,2021-01-27,citizens,explicit blame shifting,aber die Person muss das wirklich erfüllen.,de
seg_00050,train,CH,2021-01-27,,credit claiming,"Ich glaube, dazu kann man schon sagen, dass die Situation hat sich positiv entwickelt in den letzten Wochen und Monaten und wir haben jetzt eine Anzahl von neuen Fällen, die wirklich so tief ist wie nicht mehr, seit ich glaube Oktober oder so. Das ist per se sehr positiv und wir sind sehr froh, mit dieser Entwicklung.",de
seg_00051,train,CH,2021-01-27,,credit claiming,"dank der Sequenzierungen, die wir in der Schweiz machen",de
seg_00052,train,CH,2021-01-27,,credit claiming,"Aber noch einmal nein, wir haben heute eine Situation, die uns auch erlaubt, Verhaltensoptimistisch zu sein, auch wenn man in andere Länder anschaut.",de
seg_00053,train,CH,2021-01-27,,credit claiming,"Ein Wort vielleicht dazu, ganz am Anfang, als wir da sehr oder zu wenig testen hatten, hatten wir schon damals 50‘000 Schnelltests pro Tag. Also wir sind sehr viel, viel, viel höher jetzt.",de
seg_00054,train,CH,2021-01-27,subnational level,explicit blame shifting,"Ich gehe davon aus, dass das hier da auch eine Frage für die Kantone sein und vor allem für die Kantonsärzte, die das vorbereiten müssen und die das auch mal in einen realistischeren Weg mal finden müssen, damit es geht. Aber ich glaube, meiner Meinung nach gibt es keine Untergrenze",de
seg_00056,train,CH,2021-01-27,subnational level,explicit blame shifting,"Ja, wir verfolgen diese Situation mit der EDK und die Kantone sehr genau. Die Kantone haben immer auch klar gesagt, dass die Schulen und wie es geht, das ist eine Sache der Kantone, wir sehen das auch genau gleich auf Bundesebene, das ist der erste Punkt. Zweiter Punkt mit dieser Möglichkeit jetzt viel breiter zu testen zuerst einmal und auch mit der Entwicklung, mit dem Varianten, wo die Quarantäne auch sehr konsequent durchgeführt wird durch die Kantone, aber wir eine Situation, die, ja, klar, vielleicht unangenehm sein kann für gewisse Einrichtungen, für gewisse Schulen, aber das führt noch nicht unbedingt einfach automatisch dazu, dass man alle Schulen mal mal schliessen sollte. Muss man schon sehen, was es hat, auch für Auswirkungen. Und der Bundesrat hat das auch, ich glaube letzte Woche das letzte Mal das auch haben diskutiert nach einer Retour oder ein Brief der Kanton und wir sind zum Schluss gekommen, dass die Situation, haben wir im Griff, und die Kantone, die wissen, wie es geht, so zu tun, sehr angepasst an die eigene Situation?",de
seg_00058,train,CH,2021-01-27,citizens,implicit blame avoidance,"Wir verlangen keinen negativen Test von Leuten, die von Gebieten kommen, die nicht aus die Risikogebiete sind, ausser für die Leute die mit einem Flugzeug kommen.",de
seg_00070,train,CH,2021-02-17,,credit claiming,"Es gibt schon diese Entwicklung, die der Bundesrat heute mal angeschaut hat, wir haben eine Positive, eine Auslandslage, die sich verbessert hat in der letzten Wochen, das Dank einer sehr gute Entwicklung auch mit einer sehr gute Umsetzung der Bevölkerung von der Massnahmen, die uns schützen und das erlaubt jetzt langsam Richtung Lockerungen zu gehen, um mit einem Plan um aus dieser Situation zu kommen, mit Etappen",de
