record_id,split,country,conference_date,target,label,text,detected_language
seg_00001,train,CH,2021-01-13,,credit claiming,"la bonne nouvelle, c'est que pour la première fois, nous avons vraiment plusieurs semaines d'avance et nous pouvons donc agir pour affaiblir cette 3e vague. Nous avons beaucoup de séquençage dans notre pays sur les virus, quelque chose qui nous permet d'avoir une approche statistique de la situation.",fr
seg_00002,test,CH,2021-01-13,,credit claiming,"Nous faisons tout cela pour tenter d'éviter une 3e vague, affaiblir ces situations que connaissent actuellement d'autres pays, éviter des mesures plus dures et plus coûteuses plus tard, éviter aussi de mettre en danger la vaccination, qui commence maintenant. La vaccination c'est une très bonne nouvelle si on devait en trouver une au début de cette année.",fr
seg_00003,train,CH,2021-01-13,citizens,explaining/sharing responsibility,"Avec une vague pandémique, eh bien ça freine la vaccination parce que vous ne pouvez pas vacciner les personnes qui ont des symptômes et nous souhaitons également ici faire un gros effort maintenant pour que la situation ne s'éternise pas et que nous ayons ensuite des perspectives.",fr
seg_00014,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,"Oui je crois que dans ce domaine-là, je peux répéter ce que je disais tout à l'heure. Les cantons ont donné un très clair signal que c'est effectivement l'activité, c'est la responsabilité des cantons que de regarder comment gérer la situation avec les écoles obligatoires et poste obligatoire et nous avons pleine confiance dans ce que font les cantons dans ce domaine. Alors cela dit, le Conseil fédéral a discuté de cela récemment. Nous avons écrit aux cantons pour avoir aussi dans le fond un retour de leur part sur ce qu'ils pensent faire avec cette situation et nous attendons maintenant ce retour pour une prochaine discussion.",fr
seg_00015,train,CH,2021-01-13,subnational level,shifting responsibility,et nous attendons maintenant ce retour pour une prochaine discussion.,fr
seg_00016,train,CH,2021-01-13,,credit claiming,"je dois vous dire jusqu'à la fin ou à la moitié du mois de décembre, nous avions tous les signaux qui étaient assez positifs, hein. On avait un virus qui était là, on a pris des mesures pour garder le taux de reproduction à un et on a eu le premier vaccin qui était autorisé. On a des bonnes conditions pour avoir l'arrivée de doses de vaccin en janvier dans notre pays, donc on était sur un très bon chemin avec la volonté de pouvoir vacciner rapidement les groupes à risque de manière très rapide au début et puis ensuite d'avoir l'accès pour l'ensemble de la population à la vaccination parce que nous estimons que c'est un élément important, très important, décisif peut-être pour nous sortir de cette situation.",fr
seg_00017,train,CH,2021-01-13,citizens,explaining/sharing responsibility,"nous voyons dans les données sur la mobilité et les comparaisons avec le début de l'année qu'il existe encore un potentiel et ces données sur la mobilité, évidemment, tiennent compte de différents éléments, mais aussi du télétravail et on a clairement le sentiment qu'il reste encore un certain potentiel.",fr
seg_00019,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,"Dans le domaine de la santé, j'aimerais rappeler ici que les cantons ont la responsabilité de garantir l'approvisionnement. On demande beaucoup de choses à la Confédération, mais faut pas oublier Monsieur Stocker le disait tout à l'heure, nous fonctionnons dans des structures fédéralistes et l'approvisionnement en matière de soins est une affaire qui relève de l'activité des cantons. Ils font tout ce qu'ils peuvent pour ça et des hôpitaux.",fr
seg_00020,train,CH,2021-01-13,,credit claiming,"Et il nous semble que la situation actuelle de ce point de vue-là, elle permet de fonctionner aujourd'hui avec les mesures que nous prenons, il s'agit justement d'éviter d'avoir plus de personnel infecté, plus d'absence, plus de problèmes dans ce domaine-là. Et nous sommes convaincus que, avec les mesures qui devraient permettre de garder une situation sous contrôle",fr
seg_00021,test,CH,2021-01-13,,credit claiming,"Mais avec cela, il me semble que tout ça fait une immense différence d'ailleurs avec la situation d'il y a 6 ou 8 mois. Nous avons tout sur la table pour avoir une situation aussi sur le plan des institutions qui fonctionne bien.",fr
seg_00022,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,Nous avons tout sur la table pour avoir une situation aussi sur le plan des institutions qui fonctionne bien.,fr
seg_00028,train,CH,2021-01-27,,credit claiming,"vous l'avez constaté ce matin, on semble voir un effet aussi des mesures qui ont été prises encore le 13 janvier en tout cas on commence, on devrait commencer à les voir dans les chiffres. Comme vous le voyez, les nouveaux cas évoluent avec toujours une diminution, elle est moins forte que dans les semaines passées, mais ça continue de diminuer. C'est également le cas pour les hospitalisations et le nombre de décès, mais ça diminue plus lentement qu'auparavant. Nous avons maintenant ce matin une incidence sur 14 jours de 305 cas pour 100’000 habitants et on est donc repassé hier pour la première fois depuis octobre sous la barre des 2000 cas en semaine. Pendant le weekend, c'est un petit peu différent, mais en semaine, c’était le cas aujourd'hui, 2222 cas, je crois qu'on peut dire que c'est quelque chose de de réjouissant.",fr
seg_00029,train,CH,2021-01-27,,credit claiming,grâce aux multiples séquençages qui sont réalisés dans notre pays,fr
seg_00030,test,CH,2021-01-27,citizens,shifting responsibility,"la Confédération a autorisé les tests de personnes asymptomatiques et nous devons constater sur les 5-6 dernières semaines, 6 dernières semaines même, que ça a été trop peu utilisé et la Confédération a décidé enfin, le Conseil fédéral a décidé ce matin que la Confédération prendrait désormais en charge le coût de ces tests. Il s'agit d'une incitation en fait, pour dire utilisez plus ces tests dans les EMS, dans les écoles, dans les hôtels, dans les entreprises, partout où cela peut aider, utilisez les plus. Et puis s’il faut que la Confédération prenne cela en charge pour créer une incitation, Eh bien nous avons pris cette décision ce matin. Aujourd'hui, ça a été trop peu utilisé durant les 5-6-7 dernières semaines et nous souhaitons que cela change",fr
