record_id,split,country,conference_date,target,label,text,detected_language
seg_00001,train,CH,2021-01-13,,credit claiming,"la bonne nouvelle, c'est que pour la première fois, nous avons vraiment plusieurs semaines d'avance et nous pouvons donc agir pour affaiblir cette 3e vague. Nous avons beaucoup de séquençage dans notre pays sur les virus, quelque chose qui nous permet d'avoir une approche statistique de la situation.",fr
seg_00002,test,CH,2021-01-13,,credit claiming,"Nous faisons tout cela pour tenter d'éviter une 3e vague, affaiblir ces situations que connaissent actuellement d'autres pays, éviter des mesures plus dures et plus coûteuses plus tard, éviter aussi de mettre en danger la vaccination, qui commence maintenant. La vaccination c'est une très bonne nouvelle si on devait en trouver une au début de cette année.",fr
seg_00003,train,CH,2021-01-13,citizens,explaining/sharing responsibility,"Avec une vague pandémique, eh bien ça freine la vaccination parce que vous ne pouvez pas vacciner les personnes qui ont des symptômes et nous souhaitons également ici faire un gros effort maintenant pour que la situation ne s'éternise pas et que nous ayons ensuite des perspectives.",fr
seg_00004,test,CH,2021-01-13,,credit claiming,"die gute Nachricht ist es aber, dass wir aber dieser Vorsprung und Wissensvorsprung, wenn wir schauen, wie es in andere Länder geht, und wir können schon damit auch am richtigen Moment handeln, um diese Explosion zu verhindern",de
seg_00005,train,CH,2021-01-13,,credit claiming,"Das heisst, wenn wir früher mal etwas tun, wir haben eine bessere Situation, als wir erwarten, und die Frage ist nicht, ob wir Massnahmen treffen müssen. Die Frage ist nur wann, und der Bundesrat hat heute entschieden, dass es ist besser jetzt als später, weil es minimiert auch die negativen Konsequenzen. Das Positive in diesem Kontext: wir haben diese Informationsvorsprung und die andere positive Nachricht, das ist die Impfung. Die Impfung beginnt wirklich mal sich zu verteilen in der Schweiz",de
seg_00006,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,Die Kantone sind dafür zuständig,de
seg_00007,test,CH,2021-01-13,,credit claiming,"Wir haben immer mehr Dosen, wir haben jetzt schon zwei Zulassungen, die da sind, es gibt uns eine gute Situation zu den nächsten Wochen.",de
seg_00008,train,CH,2021-01-13,citizens,shifting responsibility,"Der Bundesrat ist sich bewusst, meine Damen und Herren, es wird von uns allen seit Monaten enorm viel abverlangt. Und diese Massnahmen sind sehr einschneidend wir wissen auch, dass die Coronamüdigkeiten im Zoom und wir müssen wirklich das gemeinsam schaffen das heisst Massnahmen jetzt treffen damit man hier wirklich eine Perspektive wirklich schaffen kann für den Frühling und nicht umgekehrt, nicht umgekehrt und das auch mit der Chance eine gute Entwicklung bei der Impfung zu haben umso wichtiger ist in diesen Zeiten auch die Solidarität.",de
seg_00009,train,CH,2021-01-13,,credit claiming,"Wir sind nicht mittendrin in einer Explosion, wir sind vorher, das ist genau die grosse Differenz, mit der Entwicklungen, die wir letztes Jahr erlebt haben. Diesmal haben wir diese Vorsprung Wissensvorsprung Informationsforschung",de
seg_00010,test,CH,2021-01-13,subnational level,explaining/sharing responsibility,"Aber ich kann hier auch noch einmal erinnern, die Kantone, die können, die dürfen weitergehen, als was der Bund vorsieht, wenn es notwendig sein soll. Die Kantone könnten auch grundsätzlich die Skigebiete schliessen, das habe ich vorher noch vergessen zu erwähnen.",de
seg_00011,train,CH,2021-01-13,,credit claiming,und wir haben das heute reduziert und auch auf die 2-Haushalte-Regelung verzichtet. Mit 5 sind wir schon sehr tief.,de
seg_00012,train,CH,2021-01-13,subnational level,shifting responsibility,"Ja, vielen Dank für diese Frage. Wir haben noch keine, ich glaube definitive Retour von den Kantonen dazu, sie ist klar, eine Aufgabe der Kantone, wir sind da in engen Kontakt für diese, für diese Fragen, und wir werden das viel davon aus, bald bekommen können.",de
seg_00013,train,CH,2021-01-13,subnational level,shifting responsibility,"Und es gehört auch an die Kantone, da zu schauen, was es bedeutet, für die für die Schulen. Wir sind da auch im engen Kontakt, und wir können auch mit den Analysen, die wir haben, mit der Information, die wir jeden Tag neu bekommen, über was bedeutet dieses neuen Virus. Das können wir, wir sind im engen Kontakt mit Kantonen dazu.",de
seg_00014,train,CH,2021-01-13,subnational level,explaining/sharing responsibility,"Oui je crois que dans ce domaine-là, je peux répéter ce que je disais tout à l'heure. Les cantons ont donné un très clair signal que c'est effectivement l'activité, c'est la responsabilité des cantons que de regarder comment gérer la situation avec les écoles obligatoires et poste obligatoire et nous avons pleine confiance dans ce que font les cantons dans ce domaine. Alors cela dit, le Conseil fédéral a discuté de cela récemment. Nous avons écrit aux cantons pour avoir aussi dans le fond un retour de leur part sur ce qu'ils pensent faire avec cette situation et nous attendons maintenant ce retour pour une prochaine discussion.",fr
seg_00015,train,CH,2021-01-13,subnational level,shifting responsibility,et nous attendons maintenant ce retour pour une prochaine discussion.,fr
seg_00016,train,CH,2021-01-13,,credit claiming,"je dois vous dire jusqu'à la fin ou à la moitié du mois de décembre, nous avions tous les signaux qui étaient assez positifs, hein. On avait un virus qui était là, on a pris des mesures pour garder le taux de reproduction à un et on a eu le premier vaccin qui était autorisé. On a des bonnes conditions pour avoir l'arrivée de doses de vaccin en janvier dans notre pays, donc on était sur un très bon chemin avec la volonté de pouvoir vacciner rapidement les groupes à risque de manière très rapide au début et puis ensuite d'avoir l'accès pour l'ensemble de la population à la vaccination parce que nous estimons que c'est un élément important, très important, décisif peut-être pour nous sortir de cette situation.",fr
